sample,latency
0,972176
1,129102
2,401426
3,197996
4,129242
5,127934
6,173004
7,128618
8,128098
9,139756
10,128840
11,127654
12,127734
13,172014
14,128104
15,127590
16,173468
17,126752
18,126900
19,150460
20,127510
21,128994
22,128518
23,165952
24,141148
25,139974
26,190096
27,154802
28,153756
29,188990
30,173432
31,172902
32,195818
33,296946
34,261892
35,262106
36,353028
37,322988
38,319204
39,446784
40,376846
41,390114
42,453432
43,496114
44,720802
45,521160
46,744010
47,577394
48,569300
49,694172
50,569900
51,758302
52,570992
53,779254
54,570256
55,705936
56,575468
57,572462
58,696044
59,569794
60,769246
61,563522
62,788824
63,572174
64,663958
65,575672
66,965628
67,760992
68,578424
69,799080
70,572306
71,737172
72,573940
73,573398
74,715656
75,574744
76,781298
77,576918
78,809742
79,578578
80,666558
81,579810
82,578154
83,741614
84,577010
85,794906
86,571918
87,803878
88,578640
89,577962
90,611712
91,572682
92,747714
93,576810
94,791128
95,570196
96,745506
97,571938
98,579694
99,603212
100,412512
101,718166
102,571908
103,777138
104,570586
105,723114
106,567886
107,573396
108,654996
109,574040
110,746938
111,574096
112,785376
113,570782
114,732556
115,572434
116,567578
117,707930
118,569432
119,775564
120,571098
121,778858
122,574792
123,571678
124,632908
125,574820
126,758966
127,572944
128,776332
129,567354
130,1354068
131,571132
132,566602
133,652870
134,573342
135,745912
136,569458
137,772926
138,575724
139,702786
140,575722
141,570402
142,674738
143,571770
144,762946
145,566478
146,797682
147,573644
148,571512
149,604792
150,564874
151,759028
152,577210
153,775830
154,573684
155,702274
156,572726
157,570180
158,710248
159,574628
160,754248
161,567790
162,800280
163,574692
164,569886
165,579004
166,570262
167,726456
168,570570
169,797564
170,571032
171,799514
172,571992
173,641708
174,596740
175,571546
176,787456
177,616274
178,780032
179,566602
180,744500
181,580460
182,567954
183,652094
184,574658
185,760192
186,573278
187,801550
188,570478
189,676806
190,576990
191,572570
192,724040
193,568106
194,1189672
195,576060
196,815312
197,579466
198,653332
199,581658
200,576658
201,739084
202,570860
203,787136
204,570894
205,766140
206,574708
207,575498
208,603604
209,574156
210,753694
211,571552
212,779820
213,569372
214,738366
215,570518
216,571180
217,633952
218,570124
219,744502
220,574852
221,782526
222,577446
223,711650
224,575138
225,571570
226,701336
227,570642
228,769576
229,568896
230,790256
231,572472
232,644790
233,574192
234,569222
235,700238
236,571460
237,764408
238,570570
239,800220
240,575342
241,666006
242,572388
243,573964
244,721370
245,575190
246,758872
247,571312
248,787816
249,571036
250,649022
251,578490
252,572108
253,737122
254,574404
255,781258
256,567972
257,790928
258,979552
259,565660
260,580888
261,568988
262,739962
263,574424
264,784786
265,571376
266,765108
267,571494
268,573406
269,611102
270,574378
271,746894
272,564684
273,782984
274,572454
275,709870
276,569256
277,570574
278,727012
279,569102
280,749434
281,567754
282,776312
283,570778
284,706862
285,575244
286,569130
287,681366
288,572880
289,746850
290,569984
291,787466
292,574472
293,571238
294,589672
295,569348
296,731962
297,568422
298,787978
299,568598
300,792348
301,576972
302,719722
303,574096
304,572988
305,668550
306,575598
307,751610
308,570506
309,793002
310,581934
311,658546
312,593838
313,575266
314,748080
315,577062
316,786388
317,577614
318,749300
319,575024
320,573492
321,659768
322,997144
323,802604
324,574304
325,800184
326,573098
327,650834
328,576664
329,571956
330,692706
331,570464
332,755234
333,577058
334,775700
335,570718
336,739318
337,574798
338,570824
339,664722
340,568068
341,746780
342,574302
343,785526
344,567046
345,735710
346,573308
347,576026
348,653434
349,571938
350,753222
351,569938
352,787670
353,577054
354,1632954
355,591948
356,581990
357,747326
358,573224
359,798936
360,580742
361,749100
362,579560
363,573884
364,650278
365,572046
366,690162
367,574132
368,753160
369,577596
370,784938
371,576846
372,751548
373,576482
374,573430
375,646546
376,574112
377,744960
378,576532
379,796748
380,578498
381,1382926
382,577682
383,568816
384,736210
385,568994
386,1284670
387,573780
388,735468
389,573880
390,577456
391,685258
392,570326
393,750634
394,573514
395,779616
396,571754
397,672958
398,615294
399,574148
400,763978
401,586632
402,805646
403,572330
404,648410
405,589204
406,566288
407,741770
408,570878
409,786068
410,567880
411,763678
412,571688
413,583950
414,642638
415,573648
416,750922
417,574358
418,789278
419,567170
420,567882
421,579114
422,570966
423,750478
424,574214
425,780714
426,572952
427,738704
428,569026
429,568244
430,646302
431,571510
432,753764
433,568634
434,789592
435,575276
436,575544
437,633792
438,572972
439,744190
440,565950
441,786036
442,572500
443,762030
444,575356
445,568322
446,631056
447,572038
448,749826
449,574178
450,1346642
451,579596
452,729684
453,569164
454,569580
455,692140
456,569618
457,750596
458,575150
459,796178
460,571904
461,627206
462,646070
463,569698
464,755642
465,571052
466,774866
467,574748
468,704868
469,602746
470,568362
471,698100
472,573040
473,746186
474,572030
475,793302
476,573068
477,661494
478,588716
479,574730
480,737890
481,570522
482,790102
483,576126
484,770708
485,570968
486,566230
487,641108
488,571794
489,749020
490,573702
491,776794
492,571530
493,748484
494,567014
495,568704
496,565592
497,498692
498,503758
499,359752
500,372242
501,393986
502,368650
503,386200
504,369830
505,361210
506,448124
507,370998
508,373776
509,426212
510,358176
511,371476
512,391600
513,369884
514,775628
515,356328
516,361270
517,425042
518,364998
519,383726
520,392754
521,359806
522,475346
523,372754
524,388734
525,389120
526,377698
527,402864
528,361248
529,383380
530,425722
531,365774
532,395806
533,364276
534,464398
535,606124
536,459052
537,500904
538,480772
539,461628
540,487598
541,460278
542,600150
543,458972
544,499876
545,402584
546,469450
547,433224
548,472576
549,604624
550,474060
551,556936
552,461524
553,462330
554,504994
555,458434
556,582184
557,447378
558,557582
559,456618
560,460180
561,489874
562,455986
563,595648
564,455302
565,541266
566,459694
567,488730
568,493498
569,453834
570,525318
571,458430
572,549302
573,467828
574,467938
575,488524
576,457538
577,608640
578,726836
579,559200
580,475908
581,472764
582,507938
583,462450
584,527228
585,466538
586,473964
587,458252
588,486940
589,492132
590,458552
591,590106
592,470174
593,561322
594,471514
595,471780
596,502418
597,471070
598,602804
599,481996
600,477688
601,458030
602,454138
603,495382
604,470892
605,587490
606,468880
607,498606
608,465358
609,476420
610,486340
611,456464
612,621134
613,468276
614,497028
615,457316
616,472514
617,481310
618,474524
619,579774
620,451718
621,505206
622,464796
623,459434
624,503654
625,461890
626,596214
627,467732
628,495936
629,462846
630,460884
631,492914
632,461318
633,590202
634,468744
635,502080
636,466916
637,477108
638,498960
639,463748
640,588268
641,468638
642,784910
643,473610
644,452594
645,485164
646,463102
647,602160
648,477194
649,503076
650,466146
651,463868
652,501234
653,454706
654,595246
655,473826
656,497538
657,458936
658,465754
659,499978
660,454300
661,601272
662,461140
663,495800
664,465314
665,471582
666,496552
667,454916
668,599848
669,457768
670,500058
671,463812
672,468610
673,489342
674,390788
675,595466
676,461658
677,498510
678,454230
679,459588
680,496678
681,461660
682,585262
683,453332
684,497920
685,467856
686,460694
687,443796
688,471390
689,592814
690,470972
691,493070
