sample,latency
0,85914
1,12248
2,9956
3,8240
4,9320
5,8526
6,9540
7,8002
8,7896
9,7808
10,8006
11,11148
12,8970
13,8220
14,8188
15,7774
16,8538
17,63258
18,9144
19,7966
20,7664
21,8128
22,8162
23,8164
24,7698
25,7900
26,7944
27,8034
28,7398
29,7460
30,10504
31,8404
32,9430
33,15874
34,10886
35,8210
36,8448
37,8196
38,8090
39,7928
40,7892
41,7574
42,8498
43,7888
44,7898
45,7656
46,7948
47,8024
48,8000
49,8584
50,8148
51,7558
52,8064
53,7940
54,8260
55,8246
56,8400
57,7866
58,8070
59,7466
60,7910
61,7274
62,7642
63,9184
64,7400
65,7914
66,8520
67,7930
68,7936
69,7472
70,7926
71,7504
72,7356
73,7802
74,8284
75,7454
76,7938
77,7998
78,7744
79,7608
80,7408
81,7420
82,7708
83,7526
84,7528
85,9052
86,8542
87,7226
88,7532
89,7120
90,8008
91,7878
92,7450
93,7366
94,9642
95,7606
96,7954
97,7412
98,7606
99,7618
100,7486
101,7542
102,7910
103,7576
104,7414
105,7528
106,8438
107,7720
108,7322
109,7568
110,7886
111,8672
112,8900
113,7780
114,8506
115,8200
116,7618
117,7830
118,9508
119,8116
120,7922
121,8198
122,8540
123,7946
124,8202
125,8096
126,8142
127,7814
128,7412
129,7498
130,7570
131,12874
132,7976
133,7908
134,8344
135,7982
136,7914
137,9736
138,8382
139,7844
140,7974
141,7510
142,8038
143,8318
144,7418
145,7388
146,7798
147,7872
148,7728
149,8472
150,8426
151,8026
152,7802
153,7702
154,7582
155,7298
156,7592
157,7476
158,7648
159,7624
160,7634
161,7516
162,7936
163,7738
164,7406
165,7500
166,7716
167,7774
168,7456
169,7392
170,8656
171,7656
172,7934
173,9256
174,8766
175,8522
176,8562
177,7710
178,7970
179,7790
180,7640
181,7732
182,7944
183,7674
184,7698
185,8220
186,8394
187,8078
188,9406
189,8068
190,8082
191,8320
192,8300
193,8302
194,8310
195,8020
196,7700
197,7724
198,8048
199,7790
200,7810
201,7662
202,7976
203,7522
204,7740
205,8374
206,7862
207,7648
208,7714
209,7674
210,8120
211,8032
212,7894
213,7854
214,8192
215,7742
216,7656
217,7796
218,9600
219,8094
220,8382
221,7950
222,8084
223,7736
224,7320
225,7704
226,12680
227,7730
228,7748
229,7796
230,7800
231,7606
232,7380
233,7670
234,7904
235,7422
236,8038
237,7702
238,11632
239,8484
240,8048
241,7910
242,7740
243,7658
244,7624
245,7884
246,7934
247,7598
248,7584
249,7496
250,7462
251,7472
252,7464
253,7356
254,8080
255,7710
256,7730
257,7876
258,7738
259,7866
260,7448
261,7638
262,7778
263,7590
264,7444
265,7126
266,7878
