sample,latency
0,1039728
1,170066
2,18120
3,18362
4,17496
5,16766
6,15712
7,15536
8,20780
9,26438
10,202362
11,17934
12,10056
13,18958
14,18268
15,16442
16,15904
17,183538
18,26448
19,16346
20,15688
21,14966
22,20056
23,10358
24,17818
25,18954
26,17406
27,18180
28,10206
29,18132
30,16396
31,17428
32,20426
33,138138
34,18674
35,17410
36,20992
37,13786
38,13464
39,13964
40,15968
41,18680
42,32614
43,16362
44,10098
45,20742
46,19862
47,16478
48,17616
49,143688
50,16344
51,19452
52,25444
53,17940
54,16194
55,10678
56,17408
57,15186
58,146406
59,14906
60,9826
61,17608
62,16152
63,15412
64,15342
65,196164
66,15966
67,14934
68,17560
69,18030
70,16386
71,19146
72,15468
73,16868
74,15156
75,15554
76,10538
77,14312
78,14590
79,13452
80,15260
81,148600
82,17258
83,18772
84,77112
85,16194
86,16276
87,14694
88,14772
89,14914
90,15222
91,16378
92,9920
93,18128
94,17422
95,16128
96,15110
97,124808
98,15294
99,16582
100,14400
101,16910
102,20788
103,9978
104,19476
105,24918
106,138706
107,15740
108,10110
109,17744
110,17332
111,18216
112,17454
113,230182
114,16644
115,15134
116,15748
117,14654
118,16706
119,9792
120,16438
121,16288
122,16486
123,15858
124,9842
125,16476
126,17424
127,15980
128,15442
129,135720
130,18242
131,16238
132,16302
133,16152
134,13726
135,14144
136,15292
137,20398
138,15272
139,14782
140,10292
141,19720
142,18240
143,14810
144,14116
145,140626
146,15144
147,14414
148,15790
149,20594
150,15682
151,11024
152,18206
153,16548
154,137216
155,20204
156,9920
157,17800
158,15942
159,18122
160,15928
161,365796
162,20188
163,19280
164,17134
165,17334
166,16322
167,11806
168,63686
169,19110
170,15770
171,15410
172,9538
173,18598
174,15350
175,16118
176,13648
177,131052
178,18046
179,19902
180,16912
181,17896
182,14040
183,14880
184,15304
185,16104
186,15788
187,16324
188,9424
189,15718
190,19072
191,14686
192,13568
193,130930
194,16926
195,15698
196,15342
197,15834
198,14328
199,9872
200,21332
201,21690
202,160340
203,17834
204,11598
205,19640
206,17060
207,16250
208,18004
209,151060
210,22642
211,16766
212,15720
213,13548
214,31754
215,11004
216,19440
217,18578
218,15410
219,24224
220,10990
221,17316
222,17452
223,20164
224,16800
225,163042
226,18976
227,19416
228,17662
229,29822
230,24938
231,17640
232,17934
233,18286
234,15132
235,13816
236,9820
237,18588
238,19980
239,17686
240,16180
241,146184
242,17258
243,17728
244,16756
245,15010
246,14384
247,11114
248,21632
249,14456
250,133708
251,15198
252,9598
253,17020
254,15276
255,15790
256,18478
257,174096
258,20552
259,16278
260,15642
261,13960
262,14654
263,10132
264,15076
265,17354
266,15076
267,17034
268,9988
269,16116
270,15830
271,14590
272,14248
273,153030
274,133412
275,16322
276,16076
277,17530
278,13234
279,15140
280,14186
281,15306
282,13260
283,13708
284,9274
285,16078
286,17314
287,16568
288,15154
289,124616
290,14176
291,15688
292,13036
293,15222
294,15718
295,12456
296,18774
297,13744
298,234786
299,15752
300,8776
301,14354
302,16730
303,14324
304,16898
305,155168
306,18542
307,16184
308,14024
309,13788
310,12558
311,9222
312,15502
313,14478
314,14368
315,17742
316,9138
317,15404
318,14642
319,14932
320,14260
321,131450
322,15842
323,17974
324,16800
325,15514
326,15318
327,15186
328,15192
329,14952
330,16338
331,14860
332,9872
333,22088
334,39190
335,26574
336,106304
337,190762
338,14772
339,16308
340,16418
341,16166
342,15562
343,11456
344,26564
345,22560
346,151118
347,16136
348,10434
349,17992
350,18066
351,17856
352,16338
353,291296
354,24684
355,15114
356,14746
357,15328
358,14480
359,8688
360,17670
361,16884
362,17646
363,15978
364,13284
365,17678
366,16312
367,16976
368,17096
369,155828
370,17212
371,17568
372,16246
373,20932
374,19154
375,15276
376,16784
377,14570
378,17816
379,17172
380,10034
381,19170
382,18140
383,21568
384,16506
385,123978
386,15662
387,16280
388,15694
389,15238
390,13618
391,11382
392,18310
393,22164
394,15940
395,15490
396,9500
397,18366
398,15556
399,15676
400,15592
401,199680
402,23920
403,16096
404,14474
405,14848
406,13066
407,9462
408,15122
409,14352
410,16316
411,16118
412,14004
413,15900
414,15180
415,15628
416,14890
417,159876
418,18864
419,16804
420,16150
421,21136
422,17670
423,15786
424,16180
425,16902
426,16984
427,18366
428,11292
429,28818
430,24512
431,22096
432,17098
433,139902
434,17046
435,17970
436,17384
437,18608
438,18006
439,13520
440,23598
441,20478
442,17398
443,17546
444,11390
445,65014
446,17856
447,18374
448,18230
449,168676
450,26122
451,17700
452,14920
453,13884
454,15680
455,11900
456,16280
457,16516
458,19020
459,15858
460,13858
461,19788
462,16008
463,16204
464,15784
465,149000
466,16188
467,17098
468,17808
469,17864
470,16406
471,10084
472,16476
473,16282
474,14172
475,15218
476,9056
477,16154
478,16338
479,19554
480,14768
481,122252
482,15176
483,14432
484,14346
485,15938
486,15074
487,14484
488,19802
489,21474
490,16414
491,16510
492,9472
493,16264
494,17890
495,17104
496,16040
497,164644
498,24646
499,17876
500,16134
501,15904
502,15124
503,10136
504,16934
505,18146
506,17812
507,16394
508,13484
509,17726
510,17076
511,16138
512,15598
513,153324
514,17500
515,16660
516,16608
517,20434
518,18150
519,10354
520,16250
521,18304
522,16984
523,19238
524,11432
525,20262
526,18950
527,21438
528,17648
529,168566
530,17226
531,17750
532,16454
533,15790
534,14974
535,10458
536,15350
537,20238
538,16106
539,15140
540,10118
541,18922
542,15632
543,15212
544,16138
545,177346
546,19430
547,18332
548,16760
549,16306
550,16960
551,10158
552,16214
553,15490
554,16532
555,35304
556,13996
557,19796
558,18884
559,16404
560,16084
561,151112
562,16758
563,18700
564,18358
565,71364
566,17418
567,10656
568,15484
569,14392
570,15384
571,27768
572,16830
573,26210
574,25602
575,17360
576,16114
577,136742
578,17898
579,15422
580,16404
581,18246
582,14750
583,12140
584,17068
585,23224
586,17956
587,15834
588,9080
589,17686
590,27980
591,25904
592,24482
593,182628
594,31054
595,29362
596,24408
597,17510
598,14432
599,9800
600,26548
601,24564
602,28944
603,27404
604,17000
605,20188
606,17602
607,16148
608,16412
609,151224
610,18204
611,16538
612,16554
613,15882
